  -2.1333333e+01  -7.8397457e+01  -7.7844334e+01
  -2.1302082e+01  -7.8388277e+01  -7.7854328e+01
  -2.1270831e+01  -7.8413309e+01  -7.7892734e+01
  -2.1239580e+01  -7.8360084e+01  -7.7731431e+01
  -2.1208330e+01  -7.8429961e+01  -7.7768630e+01
  -2.1177079e+01  -7.8372353e+01  -7.7809143e+01
  -2.1145828e+01  -7.8403713e+01  -7.7935419e+01
  -2.1114577e+01  -7.8395220e+01  -7.7706540e+01
  -2.1083326e+01  -7.8408348e+01  -7.7805992e+01
  -2.1052075e+01  -7.8400999e+01  -7.7748519e+01
  -2.1020824e+01  -7.8377123e+01  -7.7850438e+01
  -2.0989573e+01  -7.8314422e+01  -7.7855331e+01
  -2.0958322e+01  -7.8437763e+01  -7.7858566e+01
  -2.0927071e+01  -7.8376765e+01  -7.7791481e+01
  -2.0895820e+01  -7.8377173e+01  -7.7782416e+01
  -2.0864569e+01  -7.8402709e+01  -7.7747335e+01
  -2.0833318e+01  -7.8404564e+01  -7.7878932e+01
  -2.0802067e+01  -7.8383947e+01  -7.7799432e+01
  -2.0770816e+01  -7.8371817e+01  -7.7782584e+01
  -2.0739565e+01  -7.8371848e+01  -7.7816993e+01
  -2.0708314e+01  -7.8391663e+01  -7.7936797e+01
  -2.0677063e+01  -7.8385490e+01  -7.7893115e+01
  -2.0645812e+01  -7.8394666e+01  -7.7829630e+01
  -2.0614561e+01  -7.8381494e+01  -7.7852913e+01
  -2.0583310e+01  -7.8384164e+01  -7.7854273e+01
  -2.0552059e+01  -7.8343899e+01  -7.7845073e+01
  -2.0520809e+01  -7.8351921e+01  -7.7856953e+01
  -2.0489558e+01  -7.8357643e+01  -7.7848397e+01
  -2.0458307e+01  -7.8341786e+01  -7.7854814e+01
  -2.0427056e+01  -7.8357501e+01  -7.7823948e+01
  -2.0395805e+01  -7.8343118e+01  -7.7842574e+01
  -2.0364554e+01  -7.8362934e+01  -7.7853034e+01
  -2.0333303e+01  -7.8379348e+01  -7.7819405e+01
  -2.0302052e+01  -7.8398694e+01  -7.7776448e+01
  -2.0270801e+01  -7.8365071e+01  -7.7768085e+01
  -2.0239550e+01  -7.8366749e+01  -7.7858132e+01
  -2.0208299e+01  -7.8362999e+01  -7.7905590e+01
  -2.0177048e+01  -7.8369631e+01  -7.7768976e+01
  -2.0145797e+01  -7.8354726e+01  -7.7809029e+01
  -2.0114546e+01  -7.8349297e+01  -7.7827525e+01
  -2.0083295e+01  -7.8362667e+01  -7.7643338e+01
  -2.0052044e+01  -7.8293214e+01  -7.7767409e+01
  -2.0020793e+01  -7.8366452e+01  -7.7627179e+01
  -1.9989542e+01  -7.8335611e+01  -7.7700999e+01
  -1.9958291e+01  -7.8407380e+01  -7.7678531e+01
  -1.9927040e+01  -7.8325718e+01  -7.7782502e+01
  -1.9895789e+01  -7.8348336e+01  -7.7780483e+01
  -1.9864539e+01  -7.8354148e+01  -7.7874004e+01
  -1.9833288e+01  -7.8335736e+01  -7.7547313e+01
  -1.9802037e+01  -7.8338608e+01  -7.7642977e+01
