  -4.0000000e+01  -7.4708028e+01  -7.5810252e+01  -7.5895566e+01  -7.6023887e+01  -7.6236330e+01  -7.6415158e+01  -7.5933649e+01
  -3.9921870e+01  -5.5779652e+01  -7.5804264e+01  -7.5896776e+01  -7.6025242e+01  -7.6236821e+01  -7.6415176e+01  -7.5943345e+01
  -3.9843740e+01  -4.3596929e+01  -7.5787409e+01  -7.5898036e+01  -7.6026575e+01  -7.6237438e+01  -7.6415167e+01  -7.5915647e+01
  -3.9765611e+01  -4.4017117e+01  -7.5795954e+01  -7.5896102e+01  -7.6024641e+01  -7.6236537e+01  -7.6414822e+01  -7.5902264e+01
  -3.9687481e+01  -3.7947525e+01  -7.5779543e+01  -7.5892367e+01  -7.6020112e+01  -7.6234977e+01  -7.6414343e+01  -7.5746414e+01
  -3.9609351e+01  -3.9648012e+01  -7.5819448e+01  -7.5886323e+01  -7.6012871e+01  -7.6232057e+01  -7.6413596e+01  -7.5738073e+01
  -3.9531221e+01  -3.4499698e+01  -7.5765769e+01  -7.5884118e+01  -7.6009154e+01  -7.6231085e+01  -7.6413080e+01  -7.5479535e+01
  -3.9453092e+01  -3.7809354e+01  -7.5752820e+01  -7.5895928e+01  -7.6024659e+01  -7.6235908e+01  -7.6413274e+01  -7.5792442e+01
  -3.9374962e+01  -3.3049505e+01  -7.5605081e+01  -7.5906872e+01  -7.6039218e+01  -7.6241692e+01  -7.6413603e+01  -7.5603487e+01
  -3.9296832e+01  -3.5987706e+01  -7.5769268e+01  -7.5887379e+01  -7.6012204e+01  -7.6230493e+01  -7.6411291e+01  -7.5615810e+01
  -3.9218702e+01  -3.1963192e+01  -7.5742029e+01  -7.5876402e+01  -7.5990823e+01  -7.6223304e+01  -7.6409637e+01  -7.5118286e+01
  -3.9140573e+01  -3.5141973e+01  -7.5770657e+01  -7.5884580e+01  -7.6006270e+01  -7.6227678e+01  -7.6409455e+01  -7.5528139e+01
  -3.9062443e+01  -3.1348460e+01  -7.5734055e+01  -7.5876838e+01  -7.5982680e+01  -7.6219460e+01  -7.6407485e+01  -7.4994492e+01
  -3.8984313e+01  -3.5105291e+01  -7.5724996e+01  -7.5887900e+01  -7.6014470e+01  -7.6229730e+01  -7.6408063e+01  -7.5609673e+01
