  -5.0000000e+00   4.7440000e+00   1.2492000e+01   2.0046000e+01   2.6796000e+01   4.9280000e+00   1.1610000e+01   1.3201000e+01   8.9280000e+00
  -4.0000000e+00   1.7850000e+00   6.1150000e+00   1.5625000e+01   2.0994000e+01   1.7000000e+00   4.9360000e+00   5.7900000e+00   3.3000000e+00
  -3.0000000e+00   7.1300000e-01   2.8740000e+00   1.3086000e+01   1.7308000e+01   6.3600000e-01   1.9080000e+00   2.3220000e+00   1.1440000e+00
  -2.0000000e+00   2.5800000e-01   1.3240000e+00   1.1385000e+01   1.4862000e+01   2.4600000e-01   7.7600000e-01   8.0100000e-01   3.6700000e-01
  -1.0000000e+00   1.0100000e-01   5.7000000e-01   1.0568000e+01   1.3596000e+01   1.0300000e-01   3.0100000e-01   2.5100000e-01   1.1700000e-01
   0.0000000e+00   3.6000000e-02   2.5900000e-01   9.8260000e+00   1.2639000e+01   3.6000000e-02   1.0700000e-01   6.1000000e-02   3.8000000e-02
   1.0000000e+00   1.1000000e-02   1.3200000e-01   9.3460000e+00   1.2192000e+01   1.1000000e-02   5.6000000e-02   1.6000000e-02   1.1000000e-02
   2.0000000e+00   4.0000000e-03   1.0000000e-01   8.8720000e+00   1.2079000e+01   4.0000000e-03   2.3000000e-02   5.0000000e-03   4.0000000e-03
   3.0000000e+00   1.0000000e-03   5.9000000e-02   8.5600000e+00   1.1991000e+01   1.0000000e-03   1.1000000e-02   1.0000000e-03   1.0000000e-03
   4.0000000e+00   0.0000000e+00   4.3000000e-02   8.6190000e+00   1.2362000e+01   0.0000000e+00   8.0000000e-03   0.0000000e+00   0.0000000e+00
   5.0000000e+00   0.0000000e+00   4.1000000e-02   8.5290000e+00   1.2519000e+01   0.0000000e+00   4.0000000e-03   0.0000000e+00   0.0000000e+00
   6.0000000e+00   0.0000000e+00   2.9000000e-02   8.5130000e+00   1.2627000e+01   0.0000000e+00   1.0000000e-03   0.0000000e+00   0.0000000e+00
   7.0000000e+00   0.0000000e+00   2.3000000e-02   8.6370000e+00   1.3029000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   8.0000000e+00   0.0000000e+00   1.2000000e-02   8.5270000e+00   1.3075000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   9.0000000e+00   0.0000000e+00   4.0000000e-03   8.3820000e+00   1.3167000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
   1.0000000e+01   0.0000000e+00   3.0000000e-03   8.4820000e+00   1.3242000e+01   0.0000000e+00   0.0000000e+00   0.0000000e+00   0.0000000e+00
