   0.0000000e+00   4.1746995e-02   4.2280771e-02   1.3846333e-02   7.6580064e-03   4.0806478e-02
   1.0000000e+00   3.0745809e-02   3.1177267e-02   1.0038869e-02   5.2929311e-03   3.0671739e-02
   2.0000000e+00   2.3687429e-02   2.3508306e-02   7.2118439e-03   3.7634470e-03   2.3560238e-02
   3.0000000e+00   1.7736258e-02   1.7790950e-02   5.2124261e-03   2.7051488e-03   1.8497544e-02
   4.0000000e+00   1.3373801e-02   1.3533751e-02   3.9255650e-03   1.9852345e-03   1.4574668e-02
   5.0000000e+00   1.0478749e-02   1.0211849e-02   2.9245895e-03   1.4234456e-03   1.1188747e-02
   6.0000000e+00   8.0473652e-03   8.3185455e-03   2.2253564e-03   1.0903902e-03   8.9353479e-03
   7.0000000e+00   6.3963946e-03   6.2177020e-03   1.7260510e-03   8.1482327e-04   7.1347526e-03
   8.0000000e+00   4.8531081e-03   5.0103632e-03   1.3299879e-03   6.1645258e-04   5.5428010e-03
   9.0000000e+00   3.8352453e-03   3.8335884e-03   1.0149060e-03   4.8549276e-04   4.2917065e-03
   1.0000000e+01   2.9920066e-03   3.0178881e-03   7.8770280e-04   3.7054070e-04   3.4349353e-03
   1.1000000e+01   2.3745489e-03   2.4059925e-03   6.1642626e-04   2.8063591e-04   2.6824333e-03
   1.2000000e+01   1.8989362e-03   1.8839059e-03   4.7783614e-04   2.1797843e-04   2.0913286e-03
   1.3000000e+01   1.4944421e-03   1.5028933e-03   3.8335754e-04   1.7027950e-04   1.6694851e-03
   1.4000000e+01   1.1894289e-03   1.1763857e-03   2.9538918e-04   1.3511508e-04   1.3355409e-03
   1.5000000e+01   9.2534118e-04   9.3473715e-04   2.3182764e-04   1.0502573e-04   1.0701542e-03
