  -4.0000000e+01  -1.0677240e+01  -1.0624568e+01  -1.0666337e+01  -1.0724337e+01
  -3.9921865e+01  -7.2857045e+00  -6.9652156e+00  -6.9796204e+00  -6.9917599e+00
  -3.9843731e+01  -6.5962587e-01  -6.3859193e-01  -6.3177718e-01  -6.3083664e-01
  -3.9765596e+01  -4.3800752e+00  -4.1798060e+00  -4.1421598e+00  -4.1444041e+00
  -3.9687462e+01  -7.5578532e-01  -7.3796374e-01  -6.7993296e-01  -6.5785176e-01
  -3.9609327e+01  -4.0669042e+00  -3.8276503e+00  -3.7705796e+00  -3.7551035e+00
  -3.9531193e+01  -9.6954503e-01  -9.1112782e-01  -8.6526805e-01  -8.5575195e-01
  -3.9453058e+01  -4.4210714e+00  -4.1497770e+00  -4.1617016e+00  -4.1620682e+00
  -3.9374924e+01  -5.7322071e-01  -5.3315213e-01  -4.6415364e-01  -4.4205270e-01
  -3.9296789e+01  -4.3006233e+00  -4.0795303e+00  -4.0639000e+00  -4.0678466e+00
  -3.9218655e+01  -7.6851312e-01  -7.7810880e-01  -7.6596092e-01  -7.4189470e-01
  -3.9140520e+01  -3.9483926e+00  -3.7224308e+00  -3.7332445e+00  -3.7634835e+00
  -3.9062386e+01  -6.6781901e-01  -6.6491233e-01  -6.8189369e-01  -6.8473043e-01
  -3.8984251e+01  -3.9261994e+00  -3.6764902e+00  -3.6706131e+00  -3.6748552e+00
  -3.8906116e+01   0.0000000e+00   0.0000000e+00  -1.3460496e-02  -1.9354260e-02
  -3.8827982e+01  -4.1639576e+00  -3.9171821e+00  -3.8959187e+00  -3.9024547e+00
  -3.8749847e+01  -2.9329921e-01  -2.8329501e-01  -3.0379908e-01  -3.1196083e-01
  -3.8671713e+01  -4.0401335e+00  -3.7986498e+00  -3.7472858e+00  -3.7318612e+00
  -3.8593578e+01  -1.0512260e+00  -1.0032322e+00  -9.7875143e-01  -9.6517385e-01
  -3.8515444e+01  -4.2203187e+00  -3.9768402e+00  -4.0061473e+00  -4.0373466e+00
  -3.8437309e+01  -6.5966556e-01  -6.3972509e-01  -6.0628206e-01  -5.9688352e-01
  -3.8359175e+01  -4.1509264e+00  -3.9510052e+00  -3.9193148e+00  -3.9195305e+00
  -3.8281040e+01  -3.9452468e-01  -3.9067435e-01  -3.9161051e-01  -3.9249816e-01
  -3.8202906e+01  -4.0986743e+00  -3.8445329e+00  -3.8349699e+00  -3.8230524e+00
  -3.8124771e+01  -7.1098101e-01  -6.9606260e-01  -6.7935789e-01  -6.7045553e-01
  -3.8046637e+01  -3.7292142e+00  -3.5097129e+00  -3.5528014e+00  -3.5840600e+00
  -3.7968502e+01  -7.1436240e-01  -7.0787184e-01  -7.0121528e-01  -6.9489002e-01
  -3.7890367e+01  -4.4147061e+00  -4.1394711e+00  -4.1470460e+00  -4.1677114e+00
  -3.7812233e+01  -6.9234790e-01  -6.7718682e-01  -6.3080810e-01  -6.0379989e-01
  -3.7734098e+01  -4.1596087e+00  -3.9685280e+00  -3.9963055e+00  -3.9981406e+00
